,teff,logg,ebv,hcam:gtc:u_s,hcam:gtc:g_s,hcam:gtc:r_s,hcam:gtc:i_s,hcam:gtc:z_s,sdss:u,sdss:g,sdss:r,sdss:i,sdss:z,u-g,g-r,r-i,i-z,g-i,u-u_s,g-g_s,r-r_s,i-i_s,z-z_s
10,4362.034082284896,4.672420054528885,0.0,-32.925673328386054,-35.86181788978863,-36.98751912958954,-37.38859668764066,-37.588838125896544,-32.83954263665919,-35.80027472886948,-36.98319272837101,-37.35841032987406,-37.576963285108164,2.960732092210293,1.1829179995015267,0.37521760150305283,0.21855295523410234,1.5581356010045795,-0.08613069172686494,-0.06154316091915035,-0.00432640121853467,-0.030186357766595506,-0.01187484078837997
11,4395.954462966268,4.667570634172561,0.0,-32.92218093293472,-35.92360021566454,-37.033692050796525,-37.41554676688483,-37.60656456644334,-32.87452569930097,-35.8608276900058,-37.028704327105125,-37.38785270540586,-37.5952757097384,2.986301990704831,1.1678766370993259,0.35914837830073765,0.20742300433254002,1.5270250154000635,-0.04765523363375479,-0.06277252565874392,-0.004987723691399992,-0.027694061478968024,-0.011288856704936734
12,4428.954142730374,4.662868306616484,0.0,-33.22683797782752,-36.041947784708384,-37.084656692250604,-37.44778567479415,-37.63525879971336,-33.14601126910106,-35.980883405957094,-37.0790894727092,-37.42172596915107,-37.624221625433464,2.834872136856035,1.0982060667521054,0.34263649644186955,0.20249565628239452,1.440842563193975,-0.08082670872646247,-0.061064378751289894,-0.005567219541404711,-0.026059705643078246,-0.01103717427989892
13,4475.324263388353,4.658108365780105,0.0,-33.587789620044724,-36.19936279737751,-37.15446037874944,-37.49389199859258,-37.677760515613166,-33.47300772756647,-36.14065881661966,-37.14822083958147,-37.46975205317824,-37.66698110758334,2.6676510890531944,1.0075620229618067,0.3215312135967707,0.1972290544050992,1.3290932365585775,-0.11478189247825554,-0.058703980757847773,-0.006239539167971486,-0.024139945414340502,-0.010779408029826243
14,4524.288876538912,4.6535904156015295,0.0,-33.699852695800566,-36.279759896322574,-37.20881963484114,-37.53688472082657,-37.714333773955154,-33.58566860873988,-36.221559790642566,-37.20233427958082,-37.5133707790791,-37.70420115019785,2.635891181902686,0.9807744889382519,0.31103649949827883,0.19083037111875,1.2918109884365307,-0.11418408706068561,-0.05820010568000811,-0.0064853552603238995,-0.02351394174747412,-0.010132623757307613
15,4571.70482936621,4.649264377528807,0.0,-33.614990910463426,-36.28938449533509,-37.24367256026738,-37.571831965510476,-37.74075362131901,-33.52662129055461,-36.23022102130698,-37.23726767907536,-37.54770805982,-37.73161194290448,2.703599730752373,1.0070466577683774,0.31044038074464453,0.1839038830844757,1.317487038513022,-0.08836961990881775,-0.05916347402811084,-0.006404881192018763,-0.02412390569047318,-0.009141678414529508
16,4617.864709706665,4.645099473018823,0.0,-33.66367322918994,-36.34520670617111,-37.2975492483481,-37.61588106546191,-37.777781161154955,-33.589638580316304,-36.286539108602426,-37.291555991523246,-37.59234326359759,-37.76919290202141,2.696900528286122,1.0050168829208204,0.30078727207434497,0.17684963842381762,1.3058041549951653,-0.07403464887363498,-0.05866759756868589,-0.005993256824851301,-0.02353780186432175,-0.008588259133546217
17,4667.700252167613,4.640686072832983,0.0,-33.912823842281234,-36.47666559293126,-37.39013984917578,-37.68378724992309,-37.83961413135227,-33.83311602769153,-36.42059859859651,-37.385151914252646,-37.66273684237253,-37.83095853947665,2.5874825709049816,0.9645533156561328,0.2775849281198859,0.16822169710411572,1.2421382437760187,-0.07970781458970322,-0.056066994334749154,-0.004987934923136095,-0.02105040755056109,-0.008655591875623259
18,4717.986797149568,4.636295685019414,0.0,-34.18886481978296,-36.59765807181549,-37.46765628567002,-37.74541876365795,-37.894040915079984,-34.09145954542484,-36.54411183785489,-37.463164103095025,-37.72617056519085,-37.885381544044975,2.4526522924300522,0.9190522652401327,0.2630064620958237,0.1592109788541265,1.1820587273359564,-0.09740527435811686,-0.05354623396059566,-0.004492182574992398,-0.01924819846710335,-0.00865937103500869
19,4766.724579405746,4.63208651169753,0.0,-34.495903155575625,-36.70362262494757,-37.51855960350087,-37.79160666039239,-37.93152488919047,-34.37092270484007,-36.65257796124619,-37.51382447529867,-37.77319259458483,-37.922972931691206,2.2816552564061183,0.8612465140524819,0.2593681192861581,0.14978033710637817,1.12061463333864,-0.1249804507355563,-0.05104466370138283,-0.004735128202199235,-0.018414065807561997,-0.008551957499264518
