,Teff,g-g_s,g-i,g-r,g_s,i-i_s,i-z,i_s,logg,r-i,r-r_s,r_s,u-g,u-u_s,u_s,z-z_s,z_s
10,7500.0,0.007778896481731579,0.13818652262398956,0.13567517111466998,-39.356377111581644,-0.005036004391612892,-0.07247410097086515,-39.48174873333229,8.5,0.0025113515093195815,0.002544906165894645,-39.48681829238048,0.40428389261543174,0.03699039396633452,-38.981304716450815,0.03309881845653706,-39.44740945520957
11,7750.0,0.007365895850227844,0.09532815804362116,0.10860565185490856,-39.4900096951967,-0.006348734312346949,-0.08470160915560143,-39.571623223077744,8.5,-0.0132774938112874,0.0015834473449203301,-39.5928328985463,0.3777380190798638,0.03343537207521052,-39.138341152341816,0.03016735889588773,-39.52343770713038
12,8000.0,0.0070643697621619594,0.05603784046676452,0.08418191301955602,-39.61739059059672,-0.007592388687690743,-0.09646526972046843,-39.65877167261363,8.5,-0.0281440725527915,0.000668708756215608,-39.69517684261033,0.35597960157090824,0.030270822433145383,-39.284617441696795,0.0272738521215814,-39.597172643702436
13,8250.0,0.006959289206534436,0.019863054686453552,0.061509985523876765,-39.73942025238955,-0.008786388295654035,-0.10795088573749467,-39.743537629573815,8.5,-0.04164693083742321,-0.00012466329992122382,-39.79384628540697,0.33835382314917695,0.027426247937007986,-39.42153338797085,0.024429395430082934,-39.66880252756206
14,8500.0,0.006970802111283092,-0.01396687728743018,0.04078139589459795,-39.85706449470988,-0.009963307848757097,-0.11931569113205853,-39.82616350746241,8.5,-0.05474827318202813,-0.0008872848391305865,-39.889987803654066,0.32528469270589255,0.02482531855817882,-39.549634318450885,0.021657891273569874,-39.73846901545268
15,8750.0,0.007079856012580876,-0.045630512141670465,0.021719328028446228,-39.970621944951624,-0.011121771283910675,-0.13063293685404176,-39.90678980551346,8.5,-0.06734984017011669,-0.00160932020234128,-39.98365209676515,0.31592719622788223,0.0223503758885073,-39.66996526859967,0.01893609868249513,-39.806214738625826
16,9000.0,0.007275086514674456,-0.0753279174602568,0.003956188380648484,-40.08031140986068,-0.01225418289769209,-0.14190672046370878,-39.985454222988054,8.5,-0.07928410584090528,-0.0022833700451059258,-40.074709141681545,0.30968413144064755,0.019925973586936152,-39.78327816549229,0.016248750248522015,-39.87205043567056
17,9250.0,0.007539624337475459,-0.10359306065290497,-0.012815510549380349,-40.18627623842169,-0.013375683664961002,-0.1530986854970564,-40.06176786976635,8.5,-0.09077755010352462,-0.0029170617896099316,-40.163004041745225,0.30553544471222693,0.017764968770137557,-39.890966138142126,0.01362236304495923,-39.93566723097921
18,9500.0,0.007826158998710753,-0.1313601282098844,-0.02939061708138979,-40.288926735814506,-0.014460002448899445,-0.16410183964210034,-40.13528044615701,8.5,-0.10196951112849462,-0.003549095307597838,-40.24816086442681,0.3032681591630464,0.015574254214890004,-39.99340667186764,0.011080712415036942,-39.99671932137885
19,9750.0,0.008140413352037967,-0.1584428900958983,-0.04536845065334916,-40.388032128300246,-0.015530328419359307,-0.1749039899001943,-40.20591849643295,8.5,-0.11307443944254914,-0.0041927637728989,-40.33033050052196,0.30238305275369726,0.013589719644478748,-40.09109838183899,0.008624290521673572,-40.05516912547379
